,Mus musculus,Rattus norvegicus,Panthera leo,Triturus cristatus,Ateles paniscus,Branta canadensis,Camelus dromedarius,Cebus albifrons,Crocodylus siamensis,Echinops telfairi,Erinaceus europaeus,Hippopotamus amphibius,Lagothrix lagotricha,Lutra lutra,Macaca mulatta,Mellivora capensis,Microtus xanthognathus,Nasua nasua,Tursiops truncatus,Anas platyrhynchos,Camelus bactrianus,Cavia porcellus,Crocuta crocuta,Elephas maximus,Lama guanicoe,Martes foina,Mustela putorius,Paguma larvata,Sminthopsis crassicaudata,Struthio camelus,Tragelaphus strepsiceros,Tapirus terrestris,Callimico goeldii,Colobus guereza,Lama glama,Macropus giganteus,Phalacrocorax carbo,Papio cynocephalus,Rhinolophus ferrumequinum,Squalus acanthias,Vultur gryphus,Panthera onca,Aquila chrysaetos,Ateles geoffroyi,Balaenoptera acutorostrata,Bos taurus,Ceratotherium simum,Crocodylus niloticus,Dasyurus viverrinus,Equus zebra,Homo sapiens,Papio anubis,Saimiri sciureus,Scalopus aquaticus,Ovis aries,Ursus thibetanus,Accipiter gentilis,Ailuropoda melanoleuca,Alligator mississippiensis,Antrozous pallidus,Canis latrans,Cebus capucinus,Chlorocebus aethiops,Chrysocyon brachyurus,Dasypus novemcinctus,Didelphis virginiana,Equus caballus,Lama vicugna,Physeter catodon,Procyon lotor,Oryctolagus cuniculus,Talpa europaea,Ursus maritimus,Aotus trivirgatus,Bradypus tridactylus,Bubalus bubalis,Caretta caretta,Gallus gallus,Columba livia,Helarctos malayanus,Lepus europaeus,Loxodonta africana,Macropus rufus,Meles meles,Myotis velifer,Ornithorhynchus anatinus,Potorous tridactylus,Tadarida brasiliensis,Thunnus thynnus,Vulpes vulpes,Sus scrofa,Rhea americana,Saguinus fuscicollis,Suncus murinus,Trichechus inunguis,Lemur catta,Lynx lynx,Macropus eugenii,Ondatra zibethicus,Phoca vitulina,Pongo pygmaeus,Pteronura brasiliensis,Rangifer tarandus,Rhinoceros unicornis,Aythya affinis,Aythya marila,Myodes glareolus,Peromyscus leucopus,Marmota flaviventris,Peromyscus maniculatus,Tamias minimus,Peromyscus polionotus,Peromyscus gossypinus,Peromyscus eremicus,Peromyscus boylii,Castor fiber,Marmota caligata,Peromyscus truei,Ammotragus lervia,Mammuthus primigenius,Mesoplodon densirostris,Orycteropus afer,Panthera pardus,Balaenoptera omurai,Panthera tigris,Lipotes vexillifer,Delphinapterus leucas,Sousa chinensis,Ochotona princeps,Branta bernicla,Aythya americana,Cygnus atratus,Melanitta nigra,Melanitta perspicillata,Bucephala albeola,Bos indicus,Neophocaena phocaenoides,Kogia sima,Bison bison,Somateria mollissima,Aythya valisineria,Mergus merganser,Bucephala clangula,Mareca americana,Anas carolinensis,Aythya collaris,Anser albifrons,Lophodytes cucullatus,Histrionicus histrionicus,Tadorna tadornoides,Cygnus columbianus,Cygnus buccinator,Mergus serrator,Spatula clypeata,Melanitta fusca,Anas acuta
Mus musculus,0
Rattus norvegicus,5741500,0
Panthera leo,99275000,99275000,0
Triturus cristatus,338650000,338650000,338650000,0
Ateles paniscus,66450000,66450000,99275000,338650000,0
Branta canadensis,316350000,316350000,316350000,338650000,316350000,0
Camelus dromedarius,87325000,87325000,87325000,338650000,87325000,316350000,0
Cebus albifrons,66450000,66450000,99275000,338650000,32327925,316350000,87325000,0
Crocodylus siamensis,316350000,316350000,316350000,338650000,316350000,249467500,316350000,316350000,0
Echinops telfairi,93075000,93075000,70850000,338650000,93075000,316350000,87325000,93075000,316350000,0
Erinaceus europaeus,88177000,88177000,88177000,338650000,88177000,316350000,88177000,88177000,316350000,88177000,0
Hippopotamus amphibius,87325000,87325000,87325000,338650000,87325000,316350000,49650000,87325000,316350000,87325000,88177000,0
Lagothrix lagotricha,66450000,66450000,99275000,338650000,5850,316350000,87325000,32327925,316350000,93075000,88177000,87325000,0
Lutra lutra,99275000,99275000,57350000,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,0
Macaca mulatta,66450000,66450000,99275000,338650000,25062500,316350000,87325000,32327925,316350000,93075000,88177000,87325000,25062500,99275000,0
Mellivora capensis,99275000,99275000,57350000,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,15827500,99275000,0
Microtus xanthognathus,37025000,37025000,99275000,338650000,66450000,316350000,87325000,66450000,316350000,93075000,88177000,87325000,66450000,99275000,66450000,99275000,0
Nasua nasua,99275000,99275000,57350000,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,44675000,99275000,44675000,99275000,0
Tursiops truncatus,109550000,109550000,109550000,338650000,109550000,316350000,109550000,109550000,316350000,109550000,109550000,109550000,109550000,109550000,109550000,109550000,109550000,109550000,0
Anas platyrhynchos,316350000,316350000,316350000,338650000,316350000,20305000,316350000,316350000,249467500,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,316350000,0
Camelus bactrianus,87325000,87325000,87325000,338650000,87325000,316350000,453500,87325000,316350000,87325000,88177000,49650000,87325000,87325000,87325000,87325000,87325000,87325000,109550000,316350000,0
Cavia porcellus,47800000,47800000,99275000,338650000,66450000,316350000,87325000,66450000,316350000,93075000,88177000,87325000,66450000,99275000,66450000,99275000,47800000,99275000,109550000,316350000,87325000,0
Crocuta crocuta,99275000,99275000,27525000,338650000,99275000,316350000,87325000,99275000,316350000,70850000,88177000,87325000,99275000,57350000,99275000,57350000,99275000,57350000,109550000,316350000,87325000,99275000,0
Elephas maximus,93075000,93075000,70850000,338650000,93075000,316350000,87325000,93075000,316350000,62525000,88177000,87325000,93075000,70850000,93075000,70850000,93075000,70850000,109550000,316350000,87325000,93075000,70850000,0
Lama guanicoe,87325000,87325000,87325000,338650000,87325000,316350000,19500000,87325000,316350000,87325000,88177000,49650000,87325000,87325000,87325000,87325000,87325000,87325000,109550000,316350000,19500000,87325000,87325000,87325000,0
